CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
3454,38,1,4,0,41.952984203,-87.78908383
3455,14,1,2,0,41.793718086,-87.69853858
3456,38,1,2,0,41.953024751,-87.78668324
3457,16,1,1,0,41.793597513,-87.69394205
3458,16,1,1,0,41.793524678,-87.69702963
3459,14,1,1,0,41.793713745,-87.69874479
3460,16,1,2,0,41.789254394,-87.68405693
3461,16,1,3,0,41.786437402,-87.68490015
3462,20,1,11,0,41.803525912,-87.64464853
3463,20,1,2,0,41.804460477,-87.64310588
3464,11,1,1,0,41.808858384,-87.64326342
3465,14,1,18,0,41.822576788,-87.70459757
3466,14,1,22,0,41.820741173,-87.70461555
3467,12,1,20,0,41.824450788,-87.69722221
3468,14,1,25,0,41.806651866,-87.70869001
3469,48,1,16,0,41.993216272,-87.65533756
3470,48,1,1,0,41.99232974,-87.66992724
3471,25,1,4,0,41.854755818,-87.6855638
3472,25,1,5,0,41.850166053,-87.68573339
3473,37,1,10,0,41.911199603,-87.75795081
3474,37,1,22,0,41.911415029,-87.75823585
3475,37,1,7,0,41.909534995,-87.74626157
3476,37,1,19,0,41.90748816,-87.74620489
3477,37,1,25,0,41.905397454,-87.74617743
3478,37,1,6,0,41.90608046,-87.74589088
3479,37,1,2,0,41.910882332,-87.75556298
3480,29,1,5,0,41.880176953,-87.76180777
3481,29,1,1,0,41.88037464,-87.76343169
3482,31,1,6,0,41.938716484,-87.74680814
3483,28,1,2,0,41.884163202,-87.76208988
3484,28,1,19,0,41.884471726,-87.75903441
3485,37,1,3,0,41.91513649,-87.76526246
3486,37,1,12,0,41.885839009,-87.75908522
3487,37,1,11,0,41.909526896,-87.76069708
3488,1,1,16,0,41.912152106,-87.68741582
3489,1,1,14,0,41.917037647,-87.68754117
3490,1,1,17,0,41.923335004,-87.6877428
3491,1,1,33,0,41.921653063,-87.68768522
3492,32,1,20,0,41.932453229,-87.67330277
3493,29,1,37,0,41.910932056,-87.79470154
3494,29,1,33,0,41.91113065,-87.78025101
3495,29,1,7,0,41.909224318,-87.78766898
3496,29,1,3,0,41.911282356,-87.76804739
3497,29,1,6,0,41.909453559,-87.76688931
3498,29,1,18,0,41.886142906,-87.76521869
3499,29,1,8,0,41.884770778,-87.76517018
3500,16,1,21,0,41.772154703,-87.676209
3501,16,1,6,0,41.772097046,-87.68095201
3502,16,1,72,0,41.772371434,-87.65922967
3503,17,1,29,0,41.772406889,-87.65680065
3504,17,1,29,0,41.772441793,-87.65437324
3505,20,1,21,0,41.780598638,-87.59919787
3506,4,1,1,0,41.802350632,-87.60673667
3507,25,1,6,0,41.874271275,-87.64164283
3508,25,1,4,0,41.872112614,-87.64130525
3509,11,1,3,0,41.871820674,-87.64696578
3510,25,1,12,0,41.874516006,-87.6395015
3511,5,1,2,0,41.773346506,-87.59596507
3512,22,1,15,0,41.835178071,-87.70490856
3513,12,1,19,0,41.828035141,-87.70469773
3514,12,1,22,0,41.826221605,-87.70465031
3515,12,1,17,0,41.824356308,-87.70459365
3516,6,1,6,0,41.772817684,-87.63002449
3517,6,1,10,0,41.772783247,-87.63242606
3518,6,1,21,0,41.7727412,-87.63497792
3519,6,1,14,0,41.772704464,-87.63711309
3520,6,1,8,0,41.772664038,-87.63971213
3521,6,1,11,0,41.772614388,-87.64264838
3522,6,1,7,0,41.77258118,-87.64466131
3523,6,1,12,0,41.772548423,-87.6470877
3524,6,1,10,0,41.772328945,-87.64708093
3525,6,1,76,0,41.7723617,-87.64465461
3526,6,1,54,0,41.772394902,-87.64264204
3527,6,1,20,0,41.772444502,-87.63971179
3528,6,1,13,0,41.772481914,-87.63734473
3529,6,1,8,0,41.772521709,-87.63497199
3530,6,1,33,0,41.772563769,-87.63241932
3531,6,1,7,0,41.769104746,-87.6348287
3532,6,1,21,0,41.769063915,-87.63730805
3533,6,1,9,0,41.769025668,-87.63973503
3534,6,1,7,0,41.768885257,-87.63482262
3535,16,1,37,0,41.772337003,-87.66165182
3536,20,1,1,0,41.774738328,-87.61324046
3537,38,1,4,0,41.960527641,-87.76739109
